,0,1
8376,27,11
15510,12,2
5620,4,5
8598,1,10
8414,27,11
8592,5,4
5116,16,6
1949,16,11
3615,15,8
14607,16,10
606,20,4
18089,20,4
11730,18,6
14136,20,9
4658,24,9
8832,8,4
2675,27,3
11391,9,9
20255,30,11
21140,20,2
11012,1,2
8839,4,6
6049,26,7
20970,10,5
3180,4,10
16790,2,9
8740,15,4
2081,15,10
12318,21,7
22668,19,3
3975,5,2
28452,6,7
6282,23,6
4354,2,6
14087,21,1
7518,25,6
12148,28,11
5188,1,10
126,4,5
14101,18,4
14096,26,4
2310,29,6
6924,13,6
2009,1,2
19367,16,1
4186,26,8
13919,19,6
21705,22,7
4182,29,4
16300,31,5
19471,18,3
211,16,8
12117,24,4
1838,24,4
4389,8,10
16796,30,4
4458,10,11
714,14,12
1722,14,10
8181,17,2
14120,1,9
16979,7,9
5098,9,12
5092,5,4
5441,25,7
13495,12,9
3715,19,6
19105,1,11
3713,2,4
8624,28,4
12315,21,7
779,10,4
12276,18,7
852,14,9
7217,16,11
19007,13,11
6596,24,8
1433,24,7
10884,21,6
4299,31,12
9699,19,8
15296,15,11
8198,30,9
11283,7,11
19783,27,6
12174,9,11
14884,29,6
7075,8,5
4819,31,12
14966,15,8
3899,6,8
4895,29,8
14872,22,10
3914,1,1
4098,18,5
4617,18,6
1448,30,5
1624,20,10
1434,9,4
5759,4,1
9052,20,2
20089,1,4
18429,21,11
8950,8,1
607,15,2
14502,9,12
3481,19,4
20254,1,7
13054,6,1
9724,28,2
9871,24,2
9797,9,9
5108,26,11
7320,21,5
8402,27,7
8759,2,6
17096,8,8
6635,24,4
3475,24,6
5590,7,4
19108,27,7
5085,30,3
8608,21,3
12688,13,8
3599,15,8
13815,4,9
17245,6,9
18548,19,2
12974,6,3
8408,13,3
7503,25,6
3992,25,6
13869,13,12
17505,11,6
3727,26,4
23387,16,7
10025,30,7
2778,17,5
14706,1,10
3627,15,10
1911,26,8
11606,6,3
12316,9,7
15326,15,7
532,15,3
9216,31,5
5451,22,12
3897,1,2
19688,25,7
3169,10,9
35482,12,2
11789,1,1
25503,20,5
10999,10,9
4666,21,8
25448,15,11
16221,27,7
6516,29,9
5214,2,5
5013,3,12
14205,3,9
15839,22,8
8120,11,4
8400,20,7
15857,13,11
19493,19,6
3206,11,11
3190,25,9
8755,14,5
792,25,7
21262,28,9
13230,29,12
20936,10,1
2773,19,11
13435,27,12
8756,22,3
8583,20,12
9096,19,12
8635,2,4
18966,30,6
158,5,3
5075,29,9
19646,10,8
8136,7,12
20302,7,12
22370,25,3
2979,21,11
11057,25,4
4734,23,10
26795,11,9
10064,18,10
11848,21,7
4753,16,11
4744,14,8
4735,29,1
8086,22,3
789,7,3
9857,25,7
9840,7,11
817,9,11
5033,30,4
5118,23,6
15344,19,6
10997,28,2
24357,26,12
7058,29,7
9851,11,8
11489,14,8
133,22,10
3984,24,1
4377,7,2
5559,16,7
13073,6,7
15258,1,2
12017,19,10
20957,20,6
3237,12,11
5908,19,4
14052,16,6
1598,9,8
2696,3,7
9593,24,9
7956,7,5
21386,7,11
17866,31,12
11876,7,4
14603,24,4
2772,8,2
7199,7,5
2194,12,7
373,16,4
2851,24,7
107,6,2
31408,5,8
23971,11,8
3908,9,9
9825,16,10
7959,19,11
22281,22,10
9683,5,8
8411,10,9
9759,5,9
17441,17,5
9764,11,4
14994,14,3
8920,7,12
12748,6,8
16302,31,7
9768,24,9
28820,6,12
11126,9,9
11111,15,3
24946,23,8
26800,12,5
5772,19,7
11151,23,8
9051,16,4
8316,19,8
8940,15,5
382,1,4
3859,14,6
8641,29,11
13056,2,4
8129,8,5
17910,7,7
3629,23,7
11114,18,3
5660,13,12
13835,19,4
21992,25,9
5873,17,9
10096,9,12
8250,5,12
20362,8,8
9358,22,7
17100,4,10
10130,16,6
832,20,4
14118,29,4
11260,22,2
15233,26,2
790,9,11
20734,20,4
11492,23,8
19755,3,10
2044,4,1
27172,9,5
3488,1,1
21370,27,4
4119,12,9
6616,20,9
15718,5,11
4730,8,3
12633,4,6
7441,15,6
8919,23,11
23377,12,12
15213,2,1
4740,29,8
4739,26,10
14806,1,4
3521,14,3
17009,11,6
412,6,8
25610,12,11
806,8,2
1763,2,3
417,6,9
24004,28,11
8287,20,11
11124,16,10
4069,26,1
1511,31,10
10125,17,9
15553,26,3
35475,28,12
13672,4,12
125,18,11
11079,22,2
13422,25,9
16742,13,6
16791,2,10
11630,30,12
11646,16,11
14656,15,8
8161,19,6
15052,23,10
12840,20,7
11716,2,7
17118,10,8
5053,3,11
22737,1,8
7898,21,2
5180,17,12
24460,18,4
7829,30,5
2741,21,5
5038,23,10
5179,8,3
17840,16,2
8750,3,10
5793,7,6
26855,3,7
5064,7,6
7528,25,6
7514,21,2
2271,28,7
13687,8,10
3852,13,2
21249,13,7
21259,28,2
21261,28,2
21258,11,9
4356,11,10
